Name,musicalname,count
北京市,"音乐剧《九九艳阳天》 青春版,大型原创音乐剧《西厢》,小柯音乐剧爱情三部曲之《因为爱情2》,法国原版音乐剧《卖火柴的小女孩》,孟京辉戏剧作品 摇滚音乐剧《空中花园谋杀案》,音乐剧《芝加哥》,百老汇摇滚音乐剧《吉屋出租RENT》中文版,摇滚音乐剧《大力水手》,音乐剧《阴阳师》,托尼奖史诗音乐剧《泰坦尼克号》,百老汇经典音乐剧《音乐之声》中文纪念版,原版音乐剧史诗巨制《艾薇塔》Evita,法国音乐剧《放牛班的春天》中文版,法语音乐剧《摇滚红与黑》,伦敦西区原版音乐剧《玛蒂尔达》",15
四川省,"法语原版音乐剧《巴黎圣母院》,音乐剧《白夜行》,百老汇原版音乐剧《芝加哥》Chicago,音乐剧《我的遗愿清单》,先锋音乐剧《新·石头记》,大型原创体验式实景音乐剧《丝路恋歌》",6
江苏省,"音乐剧 《阿尔兹记忆的爱情》,法语音乐剧里程碑《巴黎圣母院》,音乐剧《拉赫玛尼诺夫》,伦敦西区原版音乐剧《Matilda the Musical玛蒂尔达》,音乐剧《淮海儿女》,世界经典音乐剧《妈妈咪呀！》中文版,音乐剧《九九艳阳天》,音乐剧《马不停蹄的忧伤》,原版童话音乐剧《卖火柴的小女孩》,音乐剧史诗巨作《贝隆夫人》Evita,音乐剧《芝加哥》 CHICAGO THE MUSICAL",11
广东省,"英文原版音乐剧《泰坦尼克号》,音乐剧《拉赫玛尼诺夫》中文版,原装明星版《搭错车》音乐剧,音乐剧《芝加哥》,法国音乐剧《放牛班的春天》中文版 暖心上演,《白夜行》音乐剧,原版经典音乐剧《猫》CATS,音乐剧史诗巨作《贝隆夫人》Evita,陈少琪原创音乐剧《爱在星光里》,TDSM街舞音乐剧场《我係歌手》,音乐剧史诗巨作《贝隆夫人》Evita,音乐剧《阴阳师》,音乐剧《爱在星光里》,音乐剧《我的遗愿清单》,绛州鼓乐音乐剧《老鼠娶亲》,百老汇摇滚音乐剧《吉屋出租RENT》中文版,法语音乐剧《巴黎圣母院》,法语音乐剧《摇滚红与黑》",18
上海市,"外百老汇“怦然心动”恋爱音乐剧《长腿叔叔》中文驻场版,华语原创音乐剧《马不停蹄的忧伤》,科幻巨作《献给阿尔吉侬的花束》改编音乐剧中文版,音乐剧《帅小伙的蔬果店》,音乐剧《阴阳师》,百老汇经典音乐剧《音乐之声》中文纪念版,音乐剧《芝加哥》,伦敦西区原版音乐剧《玛蒂尔达》,音乐剧《泰坦尼克号》,音乐剧《摇滚年代》中文版,音乐剧《DREAMGIRLS追梦女郎》,Black Mary Poppins 中文版音乐剧《水曜日》,建筑音乐剧场《建筑城市》,2019法语音乐剧《摇滚红与黑》,法语原版音乐剧《巴黎圣母院》,音乐剧《涩女郎》,法语音乐剧《摇滚红与黑》,百老汇音乐剧《摇滚年代》中文版",18
天津市,"音乐剧《我的遗愿清单》天津站,伦敦西区原版音乐剧《玛蒂尔达》 Matilda The Musical",2
安徽省,音乐剧《阴阳师》,1
山东省,"法语原版音乐剧《巴黎圣母院》,音乐剧《阴阳师》,英国伦敦西区音乐剧《老虎来喝下午茶》,音乐剧《拉赫玛尼诺夫》",4
河南省,法语原版音乐剧《巴黎圣母院》,1
海南省,"音乐剧《我的遗愿清单》海口站,世界经典原版音乐剧《猫》CATS ",2
重庆市,"法国原版音乐剧《卖火柴的小女孩》,音乐剧《我的遗愿清单》",2
浙江省,"百老汇经典音乐剧《音乐之声》中文版,音乐剧史诗巨制《贝隆夫人》Evita,音乐剧《长腿叔叔》中文版,音乐剧《拉赫玛尼诺夫》",4
陕西省,"伦敦西区原版音乐剧《玛蒂尔达》,法语原版音乐剧《巴黎圣母院》,音乐剧《拉赫玛尼诺夫》,莫斯科轻歌剧院·音乐剧《安娜·卡列尼娜》,音乐剧《国王与我》",5
山西省,"音乐剧《火花》,音乐剧《我们还能陪妈妈多久》",2
湖北省,"法语音乐剧《巴黎圣母院》武汉站,伦敦西区原版音乐剧《玛蒂尔达》武汉站,音乐剧《我的遗愿清单》中文版,音乐剧《拉赫玛尼诺夫》中文版",4
福建省,"家庭音乐剧《故宫里的大怪兽之吻兽使命》,韩国原创音乐剧《拉赫玛尼诺夫》中文版,陈少琪原创音乐剧《爱在星光里》",3
辽宁省,音乐剧《老虎来喝下午茶》,1
黑龙江省,"音乐剧《故宫里的大怪兽之吻兽使命》,百老汇原版音乐剧《芝加哥》",2
河北省,音乐剧《贝隆夫人》,1
江西省,家庭音乐剧《故宫里的大怪兽之吻兽使命》,1